index,question,official_answer,target_entity,pipeline_answer,correct,solver_stdout,solver_stderr,problem_entities_yaml,plan_yaml,plan_entities_yaml,error_stage,error,duration_seconds
1,"Nancy buys 2 coffees a day.  She grabs a double espresso for $3.00 every morning.  In the afternoon, she grabs an iced coffee for $2.50.  After 20 days, how much money has she spent on coffee?",110,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: step2.expr có vẻ nhân đôi dữ kiện đếm ['coffee_per_day']. Step trước 'daily_coffee_cost' đã cộng các giá tiền thành phần ['afternoon_coffee_price', 'morning_coffee_price'].","coffee_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
total_cost:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","coffee_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
total_cost:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars",Planner,RuntimeError: Solver failed with exit code 1,9.952
2,"Ryan started with 36 tokens at the arcade. Ryan wasted a third of his tokens on Pac-Man, a fourth of his tokens on Candy Crush, and 7 on Ski-ball. Then, his parents bought him seven times as many tokens as he spent on Ski-ball. How many tokens did Ryan end up with?",57,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: tokens_wasted_on_pac_man.value=12 không phải số được nêu trực tiếp trong đề.,"tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
total_money:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
  expr: null
  formalized_expr: null
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
  expr: null
  formalized_expr: null
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
total_money:
  value: 725
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_tomato_money + total_carrot_money
  formalized_expr: tomatoes_harvested * tomato_price + carrots_harvested * carrot_price
total_tomato_money:
  value: 200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: tomatoes_harvested * tomato_price
  formalized_expr: tomatoes_harvested * tomato_price
total_carrot_money:
  value: 525
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: carrots_harvested * carrot_price
  formalized_expr: carrots_harvested * carrot_price",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,9.000
14,Jame has 60 bars of gold.  He uses 10% of them to pay for tax and then loses half of what is left in divorce.  How many gold bars does he have left?,27,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...",Reason: Target chỉ nên được tạo ở bước cuối cùng.,"gold_bars:
  value: 60
  unit: bars
  location: input
  grand_unit: bars
percentage_used_for_tax:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
gold_bars_after_tax:
  value: null
  unit: bars
  location: target
  grand_unit: bars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","gold_bars:
  value: 60
  unit: bars
  location: input
  grand_unit: bars
percentage_used_for_tax:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
gold_bars_after_tax:
  value: null
  unit: bars
  location: target
  grand_unit: bars",Planner,RuntimeError: Solver failed with exit code 1,14.728
21,Ryan wants to take 5 peanut butter sandwiches to the beach.  If each sandwich consists of 3 slices of bread how many slices does Ryan need to make 5 sandwiches?,15,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: Thiếu thực thể input cho số trực tiếp có đơn vị trong đề: 5.,"tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
total_money:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
  expr: null
  formalized_expr: null
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
  expr: null
  formalized_expr: null
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
total_money:
  value: 725
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_tomato_money + total_carrot_money
  formalized_expr: tomatoes_harvested * tomato_price + carrots_harvested * carrot_price
total_tomato_money:
  value: 200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: tomatoes_harvested * tomato_price
  formalized_expr: tomatoes_harvested * tomato_price
total_carrot_money:
  value: 525
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: carrots_harvested * carrot_price
  formalized_expr: carrots_harvested * carrot_price",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,8.231
22,"For many years, the number of sharks in Pelican Bay has been twice the number of Pelicans in Shark Bite Cove.   But today scientists say one-third of the Pelicans in Shark Bite Cove have moved to Pelican Bay.  If there are still 60 sharks in Pelican Bay,  how many Pelicans remain in Shark Bite Cove?",20,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: pelicans_moved_to_pelican_bay.value=0.333333333333 không phải số được nêu trực tiếp trong đề.,"tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
total_money:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
  expr: null
  formalized_expr: null
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
  expr: null
  formalized_expr: null
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
total_money:
  value: 725
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_tomato_money + total_carrot_money
  formalized_expr: tomatoes_harvested * tomato_price + carrots_harvested * carrot_price
total_tomato_money:
  value: 200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: tomatoes_harvested * tomato_price
  formalized_expr: tomatoes_harvested * tomato_price
total_carrot_money:
  value: 525
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: carrots_harvested * carrot_price
  formalized_expr: carrots_harvested * carrot_price",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,10.078
23,"A group of nine turtles sat on a log.  Two less than three times the original number of turtles climbed onto the log with the original group, creating an even larger group on the log.  Suddenly, half of the large group of turtles were frightened by a sound and jumped off of the log and ran away.  How many turtles remained on the log?",17,turtles_remaining,5.5,no,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"original_turtles:
  value: 9
  unit: turtles
  location: input
  grand_unit: turtles
additional_turtles:
  value: 2
  unit: turtles
  location: input
  grand_unit: turtles
fraction_frightened:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
turtles_remaining:
  value: null
  unit: turtles
  location: target
  grand_unit: turtles","step1:
  expr: original_turtles + additional_turtles
  result: turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 9 + 2 = 11
step2:
  expr: turtles * fraction_frightened
  result: frightened_turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 11.0 * 0.5 = 5.5
step3:
  expr: turtles - frightened_turtles
  result: turtles_remaining
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 11.0 - 5.5 = 5.5","original_turtles:
  value: 9
  unit: turtles
  location: input
  grand_unit: turtles
  expr: null
  formalized_expr: null
additional_turtles:
  value: 2
  unit: turtles
  location: input
  grand_unit: turtles
  expr: null
  formalized_expr: null
fraction_frightened:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
turtles_remaining:
  value: 5.5
  unit: turtles
  location: target
  grand_unit: turtles
  expr: turtles - frightened_turtles
  formalized_expr: (original_turtles + additional_turtles) - ((original_turtles +
    additional_turtles) * fraction_frightened)
turtles:
  value: 11
  unit: turtles
  location: step1
  grand_unit: turtles
  expr: original_turtles + additional_turtles
  formalized_expr: original_turtles + additional_turtles
frightened_turtles:
  value: 5.5
  unit: turtles
  location: step2
  grand_unit: turtles
  expr: turtles * fraction_frightened
  formalized_expr: (original_turtles + additional_turtles) * fraction_frightened",,,9.988
25,Telegraph Road goes through multiple states and is 162 kilometers long. Pardee Road is 12000 meters long. How many kilometers longer is Telegraph Road than Pardee Road?,150,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: pardee_road_length.value=12 không phải số được nêu trực tiếp trong đề.,"tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
total_money:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
  expr: null
  formalized_expr: null
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
  expr: null
  formalized_expr: null
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
total_money:
  value: 725
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_tomato_money + total_carrot_money
  formalized_expr: tomatoes_harvested * tomato_price + carrots_harvested * carrot_price
total_tomato_money:
  value: 200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: tomatoes_harvested * tomato_price
  formalized_expr: tomatoes_harvested * tomato_price
total_carrot_money:
  value: 525
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: carrots_harvested * carrot_price
  formalized_expr: carrots_harvested * carrot_price",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,10.550
27,Carmela has $7 and each of her four cousins has $2. How much will Carmela have to give to each of her cousins so that she and her cousins will have the same amount of money?,1,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...",Reason: step1.expr dùng entity chưa tồn tại hoặc chưa được tạo: ['money_given_to_each_cousin'],"carmela_money:
  value: 7
  unit: dollars
  location: input
  grand_unit: dollars
cousin_money:
  value: 2
  unit: dollars
  location: input
  grand_unit: dollars
number_of_cousins:
  value: 4
  unit: cousins
  location: input
  grand_unit: null
money_given_to_each_cousin:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","carmela_money:
  value: 7
  unit: dollars
  location: input
  grand_unit: dollars
cousin_money:
  value: 2
  unit: dollars
  location: input
  grand_unit: dollars
number_of_cousins:
  value: 4
  unit: cousins
  location: input
  grand_unit: null
money_given_to_each_cousin:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars",Planner,RuntimeError: Solver failed with exit code 1,13.265
32,An online newspaper had listed 100 visitors in October. The number of visitors in November increased by 15%. There were 15 more visitors in December than in November. What is the total number of visitors for these three months?,345,,,no,"Pass ProblemFormalizer
Pass Planner
Fail Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...",Reason: InsideChecker vẫn còn lỗi sau 5 lần repair. Checker output: Pass InsideChecker,"visitors_october:
  value: 100
  unit: visitors
  location: input
  grand_unit: visitors
percentage_increase_november:
  value: 0.15
  unit: null
  location: input
  grand_unit: null
additional_visitors_december:
  value: 15
  unit: visitors
  location: input
  grand_unit: visitors
total_visitors:
  value: null
  unit: visitors
  location: target
  grand_unit: visitors","step1:
  expr: visitors_october * percentage_increase_november
  result: increase_amount_november
  result_unit: null
  result_grand_unit: null
  reported_expr: 100.00 * 0.15 = 15.00
step2:
  expr: visitors_october + increase_amount_november
  result: visitors_november
  result_unit: visitors
  result_grand_unit: visitors
  reported_expr: 100 + 15 = 115
step3:
  expr: visitors_november + additional_visitors_december
  result: visitors_december
  result_unit: visitors
  result_grand_unit: visitors
  reported_expr: 115 + 15 = 130
step4:
  expr: visitors_october + visitors_november + visitors_december
  result: total_visitors
  result_unit: visitors
  result_grand_unit: visitors
  reported_expr: 100 + 115 + 130 = 345","visitors_october:
  value: 100
  unit: visitors
  location: input
  grand_unit: visitors
  expr: null
  formalized_expr: null
percentage_increase_november:
  value: 0.15
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
additional_visitors_december:
  value: 15
  unit: visitors
  location: input
  grand_unit: visitors
  expr: null
  formalized_expr: null
total_visitors:
  value: 345
  unit: visitors
  location: target
  grand_unit: visitors
  expr: visitors_october + visitors_november + visitors_december
  formalized_expr: visitors_october + (visitors_october + visitors_october * percentage_increase_november)
    + ((visitors_october + visitors_october * percentage_increase_november) + additional_visitors_december)
increase_amount_november:
  value: 15
  unit: null
  location: step1
  grand_unit: null
  expr: visitors_october * percentage_increase_november
  formalized_expr: visitors_october * percentage_increase_november
visitors_november:
  value: 115
  unit: visitors
  location: step2
  grand_unit: visitors
  expr: visitors_october + increase_amount_november
  formalized_expr: visitors_october + visitors_october * percentage_increase_november
visitors_december:
  value: 130
  unit: visitors
  location: step3
  grand_unit: visitors
  expr: visitors_november + additional_visitors_december
  formalized_expr: (visitors_october + visitors_october * percentage_increase_november)
    + additional_visitors_december",Executor,RuntimeError: Solver failed with exit code 1,45.109
34,"On a road map, 1/4 inch represents 8 miles of actual road distance. The towns of Pence and Hillcrest are represented by points 3 3/8 inches apart on the map. What is the actual distance, in miles, between the towns?",108,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: map_distance_between_towns.value=3.375 không phải số được nêu trực tiếp trong đề.,"tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
total_money:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: tomatoes_harvested * tomato_price
  result: total_tomato_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200.0 * 1.0 = 200.0
step2:
  expr: carrots_harvested * carrot_price
  result: total_carrot_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 350.0 * 1.5 = 525.0
step3:
  expr: total_tomato_money + total_carrot_money
  result: total_money
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 200 + 525 = 725","tomatoes_harvested:
  value: 200
  unit: tomatoes
  location: input
  grand_unit: tomatoes
  expr: null
  formalized_expr: null
carrots_harvested:
  value: 350
  unit: carrots
  location: input
  grand_unit: carrots
  expr: null
  formalized_expr: null
tomato_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
carrot_price:
  value: 1.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
total_money:
  value: 725
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_tomato_money + total_carrot_money
  formalized_expr: tomatoes_harvested * tomato_price + carrots_harvested * carrot_price
total_tomato_money:
  value: 200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: tomatoes_harvested * tomato_price
  formalized_expr: tomatoes_harvested * tomato_price
total_carrot_money:
  value: 525
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: carrots_harvested * carrot_price
  formalized_expr: carrots_harvested * carrot_price",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,7.675
