index,question,official_answer,target_entity,pipeline_answer,correct,solver_stdout,solver_stderr,problem_entities_yaml,plan_yaml,plan_entities_yaml,error_stage,error,duration_seconds
1,"Nancy buys 2 coffees a day.  She grabs a double espresso for $3.00 every morning.  In the afternoon, she grabs an iced coffee for $2.50.  After 20 days, how much money has she spent on coffee?",110,total_cost,110,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
coffees_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
total_cost:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: morning_coffee_price + afternoon_coffee_price
  result: daily_coffee_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 3.0 + 2.5 = 5.5
step2:
  expr: daily_coffee_cost * days
  result: total_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5.5 * 20.0 = 110.0","morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
coffees_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
  expr: null
  formalized_expr: null
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_cost:
  value: 110
  unit: dollars
  location: target
  grand_unit: dollars
  expr: daily_coffee_cost * days
  formalized_expr: (morning_coffee_price + afternoon_coffee_price) * days
daily_coffee_cost:
  value: 5.5
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: morning_coffee_price + afternoon_coffee_price
  formalized_expr: morning_coffee_price + afternoon_coffee_price",,,18.866
2,"Ryan started with 36 tokens at the arcade. Ryan wasted a third of his tokens on Pac-Man, a fourth of his tokens on Candy Crush, and 7 on Ski-ball. Then, his parents bought him seven times as many tokens as he spent on Ski-ball. How many tokens did Ryan end up with?",57,total_tokens,57.00000000000001,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"initial_tokens:
  value: 36
  unit: tokens
  location: input
  grand_unit: tokens
tokens_wasted_on_pac_man:
  value: 0.3333333333333333
  unit: null
  location: input
  grand_unit: null
tokens_wasted_on_candy_crush:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
tokens_wasted_on_ski_ball:
  value: 7
  unit: tokens
  location: input
  grand_unit: tokens
parent_token_multiplier:
  value: 7
  unit: null
  location: input
  grand_unit: null
total_tokens:
  value: null
  unit: tokens
  location: target
  grand_unit: tokens","step1:
  expr: initial_tokens * tokens_wasted_on_pac_man
  result: tokens_spent_on_pac_man
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.0000000000000000 * 0.3333333333333333 = 11.9999999999999988
step2:
  expr: initial_tokens * tokens_wasted_on_candy_crush
  result: tokens_spent_on_candy_crush
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.00 * 0.25 = 9.00
step3:
  expr: tokens_spent_on_pac_man + tokens_spent_on_candy_crush + tokens_wasted_on_ski_ball
  result: total_tokens_spent
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 11.999999999999998 + 9.000000000000000 + 7.000000000000000 = 27.999999999999998
step4:
  expr: tokens_wasted_on_ski_ball * parent_token_multiplier
  result: tokens_received_from_parents
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 7 * 7 = 49
step5:
  expr: initial_tokens - total_tokens_spent + tokens_received_from_parents
  result: total_tokens
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.000000000000000 - 27.999999999999996 + 49.000000000000000 = 57.000000000000004","initial_tokens:
  value: 36
  unit: tokens
  location: input
  grand_unit: tokens
  expr: null
  formalized_expr: null
tokens_wasted_on_pac_man:
  value: 0.3333333333333333
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
tokens_wasted_on_candy_crush:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
tokens_wasted_on_ski_ball:
  value: 7
  unit: tokens
  location: input
  grand_unit: tokens
  expr: null
  formalized_expr: null
parent_token_multiplier:
  value: 7
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_tokens:
  value: 57.00000000000001
  unit: tokens
  location: target
  grand_unit: tokens
  expr: initial_tokens - total_tokens_spent + tokens_received_from_parents
  formalized_expr: initial_tokens - (initial_tokens * tokens_wasted_on_pac_man + initial_tokens
    * tokens_wasted_on_candy_crush + tokens_wasted_on_ski_ball) + tokens_wasted_on_ski_ball
    * parent_token_multiplier
tokens_spent_on_pac_man:
  value: 11.999999999999998
  unit: tokens
  location: step1
  grand_unit: tokens
  expr: initial_tokens * tokens_wasted_on_pac_man
  formalized_expr: initial_tokens * tokens_wasted_on_pac_man
tokens_spent_on_candy_crush:
  value: 9
  unit: tokens
  location: step2
  grand_unit: tokens
  expr: initial_tokens * tokens_wasted_on_candy_crush
  formalized_expr: initial_tokens * tokens_wasted_on_candy_crush
total_tokens_spent:
  value: 27.999999999999996
  unit: tokens
  location: step3
  grand_unit: tokens
  expr: tokens_spent_on_pac_man + tokens_spent_on_candy_crush + tokens_wasted_on_ski_ball
  formalized_expr: initial_tokens * tokens_wasted_on_pac_man + initial_tokens * tokens_wasted_on_candy_crush
    + tokens_wasted_on_ski_ball
tokens_received_from_parents:
  value: 49
  unit: tokens
  location: step4
  grand_unit: tokens
  expr: tokens_wasted_on_ski_ball * parent_token_multiplier
  formalized_expr: tokens_wasted_on_ski_ball * parent_token_multiplier",,,12.533
3,"Jose had 400 tabs opened up in his windows browser. After about one hour of browsing, he closed 1/4 of the tabs to allows easy browsing. He read some news from different pages, then closed 2/5 of the remaining tabs. If he closed half of the remaining tabs after further analyzing some pages, how many windows tabs did he have remaining open?",90,remaining_tabs,90,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"tabs_opened:
  value: 400
  unit: tabs
  location: input
  grand_unit: tabs
fraction_tabs_closed_first:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
fraction_tabs_closed_second:
  value: 0.4
  unit: null
  location: input
  grand_unit: null
fraction_tabs_closed_third:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
remaining_tabs:
  value: null
  unit: tabs
  location: target
  grand_unit: tabs
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: tabs_opened * (identity_multiplier - fraction_tabs_closed_first)
  result: intermediate_tabs_after_first_close
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 400.00 * (1.00 - 0.25) = 300.00
step2:
  expr: intermediate_tabs_after_first_close * (identity_multiplier - fraction_tabs_closed_second)
  result: intermediate_tabs_after_second_close
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 300.0 * (1.0 - 0.4) = 180.0
step3:
  expr: intermediate_tabs_after_second_close * (identity_multiplier - fraction_tabs_closed_third)
  result: remaining_tabs
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 180.0 * (1.0 - 0.5) = 90.0","tabs_opened:
  value: 400
  unit: tabs
  location: input
  grand_unit: tabs
  expr: null
  formalized_expr: null
fraction_tabs_closed_first:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
fraction_tabs_closed_second:
  value: 0.4
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
fraction_tabs_closed_third:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
remaining_tabs:
  value: 90
  unit: tabs
  location: target
  grand_unit: tabs
  expr: intermediate_tabs_after_second_close * (identity_multiplier - fraction_tabs_closed_third)
  formalized_expr: (tabs_opened * (identity_multiplier - fraction_tabs_closed_first))
    * (identity_multiplier - fraction_tabs_closed_second) * (identity_multiplier -
    fraction_tabs_closed_third)
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
intermediate_tabs_after_first_close:
  value: 300
  unit: tabs
  location: step1
  grand_unit: tabs
  expr: tabs_opened * (identity_multiplier - fraction_tabs_closed_first)
  formalized_expr: tabs_opened * (identity_multiplier - fraction_tabs_closed_first)
intermediate_tabs_after_second_close:
  value: 180
  unit: tabs
  location: step2
  grand_unit: tabs
  expr: intermediate_tabs_after_first_close * (identity_multiplier - fraction_tabs_closed_second)
  formalized_expr: (tabs_opened * (identity_multiplier - fraction_tabs_closed_first))
    * (identity_multiplier - fraction_tabs_closed_second)",,,16.866
4,"There are 50 more pens than notebooks on Wesley's school library shelf. If there are 30 notebooks on the shelf, how many notebooks and pens, does he have altogether?",110,total_items,110,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"notebooks:
  value: 30
  unit: notebooks
  location: input
  grand_unit: items
pens_more_than_notebooks:
  value: 50
  unit: pens
  location: input
  grand_unit: items
total_items:
  value: null
  unit: items
  location: target
  grand_unit: items","step1:
  expr: notebooks + pens_more_than_notebooks
  result: pens
  result_unit: pens
  result_grand_unit: items
  reported_expr: 30 + 50 = 80
step2:
  expr: notebooks + pens
  result: total_items
  result_unit: items
  result_grand_unit: items
  reported_expr: 30 + 80 = 110","notebooks:
  value: 30
  unit: notebooks
  location: input
  grand_unit: items
  expr: null
  formalized_expr: null
pens_more_than_notebooks:
  value: 50
  unit: pens
  location: input
  grand_unit: items
  expr: null
  formalized_expr: null
total_items:
  value: 110
  unit: items
  location: target
  grand_unit: items
  expr: notebooks + pens
  formalized_expr: notebooks + (notebooks + pens_more_than_notebooks)
pens:
  value: 80
  unit: pens
  location: step1
  grand_unit: items
  expr: notebooks + pens_more_than_notebooks
  formalized_expr: notebooks + pens_more_than_notebooks",,,8.828
5,"Sara builds a birdhouse that is 1 foot wide, 2 feet tall and 2 feet deep. Jake builds a birdhouse that is 16 inches wide, 20 inches tall and 18 inches deep. What is the difference in volume between the two birdhouses in inches?",1152,volume_difference,1152,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"width_sara:
  value: 1
  unit: feet
  location: input
  grand_unit: inches
height_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: inches
depth_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: inches
width_jake:
  value: 16
  unit: inches
  location: input
  grand_unit: inches
height_jake:
  value: 20
  unit: inches
  location: input
  grand_unit: inches
depth_jake:
  value: 18
  unit: inches
  location: input
  grand_unit: inches
volume_difference:
  value: null
  unit: inches
  location: target
  grand_unit: inches
unit_conversion_inches_per_foot:
  value: 12
  unit: null
  location: input
  grand_unit: null","step1:
  expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot
  result: volume_sara
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 1 * 12 * 2 * 12 * 2 * 12 = 6912
step2:
  expr: width_jake * height_jake * depth_jake
  result: volume_jake
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 16 * 20 * 18 = 5760
step3:
  expr: volume_sara - volume_jake
  result: volume_difference
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 6912 - 5760 = 1152","width_sara:
  value: 1
  unit: feet
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
height_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
depth_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
width_jake:
  value: 16
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
height_jake:
  value: 20
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
depth_jake:
  value: 18
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
volume_difference:
  value: 1152
  unit: inches
  location: target
  grand_unit: inches
  expr: volume_sara - volume_jake
  formalized_expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot - width_jake * height_jake * depth_jake
unit_conversion_inches_per_foot:
  value: 12
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
volume_sara:
  value: 6912
  unit: inches
  location: step1
  grand_unit: inches
  expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot
  formalized_expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot
volume_jake:
  value: 5760
  unit: inches
  location: step2
  grand_unit: inches
  expr: width_jake * height_jake * depth_jake
  formalized_expr: width_jake * height_jake * depth_jake",,,20.076
6,Tom reads 10 hours over 5 days.  He can read 50 pages per hour.  Assuming he reads the same amount every day how many pages does he read in 7 days?,700,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: step3.expr dùng 'additional_days' như một số lượng thật. 'additional_days' là độ chênh lệch, nên phải tạo entity 'days' trước: days = base_quantity + additional_days. Sau đó mới dùng 'days' để tính 'total_pages'.","hours:
  value: 10
  unit: hours
  location: input
  grand_unit: hours
days:
  value: 5
  unit: days
  location: input
  grand_unit: days
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: pages
additional_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
total_pages:
  value: null
  unit: pages
  location: target
  grand_unit: pages
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null","step1:
  expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot
  result: volume_sara
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 1 * 12 * 2 * 12 * 2 * 12 = 6912
step2:
  expr: width_jake * height_jake * depth_jake
  result: volume_jake
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 16 * 20 * 18 = 5760
step3:
  expr: volume_sara - volume_jake
  result: volume_difference
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 6912 - 5760 = 1152","hours:
  value: 10
  unit: hours
  location: input
  grand_unit: hours
days:
  value: 5
  unit: days
  location: input
  grand_unit: days
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: pages
additional_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
total_pages:
  value: null
  unit: pages
  location: target
  grand_unit: pages
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null",Planner,RuntimeError: Solver failed with exit code 1,28.198
7,"Danny has a huge fish tank that contains 94 guppies, 76 angelfish, 89 tiger sharks, and 58 Oscar fish. If he sells 30 guppies, 48 angelfish, 17 tiger sharks, and 24 Oscar fish. How many fish will remain?",198,total_fish_remaining,198,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"guppies:
  value: 94
  unit: fish
  location: input
  grand_unit: fish
angelfish:
  value: 76
  unit: fish
  location: input
  grand_unit: fish
tiger_sharks:
  value: 89
  unit: fish
  location: input
  grand_unit: fish
oscar_fish:
  value: 58
  unit: fish
  location: input
  grand_unit: fish
guppies_sold:
  value: 30
  unit: fish
  location: input
  grand_unit: fish
angelfish_sold:
  value: 48
  unit: fish
  location: input
  grand_unit: fish
tiger_sharks_sold:
  value: 17
  unit: fish
  location: input
  grand_unit: fish
oscar_fish_sold:
  value: 24
  unit: fish
  location: input
  grand_unit: fish
total_fish_remaining:
  value: null
  unit: fish
  location: target
  grand_unit: fish","step1:
  expr: guppies - guppies_sold
  result: remaining_guppies
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 94 - 30 = 64
step2:
  expr: angelfish - angelfish_sold
  result: remaining_angelfish
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 76 - 48 = 28
step3:
  expr: tiger_sharks - tiger_sharks_sold
  result: remaining_tiger_sharks
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 89 - 17 = 72
step4:
  expr: oscar_fish - oscar_fish_sold
  result: remaining_oscar_fish
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 58 - 24 = 34
step5:
  expr: remaining_guppies + remaining_angelfish + remaining_tiger_sharks + remaining_oscar_fish
  result: total_fish_remaining
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 64 + 28 + 72 + 34 = 198","guppies:
  value: 94
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
angelfish:
  value: 76
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
tiger_sharks:
  value: 89
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
oscar_fish:
  value: 58
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
guppies_sold:
  value: 30
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
angelfish_sold:
  value: 48
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
tiger_sharks_sold:
  value: 17
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
oscar_fish_sold:
  value: 24
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
total_fish_remaining:
  value: 198
  unit: fish
  location: target
  grand_unit: fish
  expr: remaining_guppies + remaining_angelfish + remaining_tiger_sharks + remaining_oscar_fish
  formalized_expr: (guppies - guppies_sold) + (angelfish - angelfish_sold) + (tiger_sharks
    - tiger_sharks_sold) + (oscar_fish - oscar_fish_sold)
remaining_guppies:
  value: 64
  unit: fish
  location: step1
  grand_unit: fish
  expr: guppies - guppies_sold
  formalized_expr: guppies - guppies_sold
remaining_angelfish:
  value: 28
  unit: fish
  location: step2
  grand_unit: fish
  expr: angelfish - angelfish_sold
  formalized_expr: angelfish - angelfish_sold
remaining_tiger_sharks:
  value: 72
  unit: fish
  location: step3
  grand_unit: fish
  expr: tiger_sharks - tiger_sharks_sold
  formalized_expr: tiger_sharks - tiger_sharks_sold
remaining_oscar_fish:
  value: 34
  unit: fish
  location: step4
  grand_unit: fish
  expr: oscar_fish - oscar_fish_sold
  formalized_expr: oscar_fish - oscar_fish_sold",,,20.646
8,Chelsea made 4 batches of cupcakes for the bake sale. The cupcakes took 20 minutes to bake and 30 minutes to ice per batch. How long did it take Chelsea to make the cupcakes?,200,total_time,200,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"batches_of_cupcakes:
  value: 4
  unit: batches
  location: input
  grand_unit: batches
baking_time_per_batch:
  value: 20
  unit: minutes
  location: input
  grand_unit: minutes
icing_time_per_batch:
  value: 30
  unit: minutes
  location: input
  grand_unit: minutes
total_time:
  value: null
  unit: minutes
  location: target
  grand_unit: minutes","step1:
  expr: batches_of_cupcakes * (baking_time_per_batch + icing_time_per_batch)
  result: total_time
  result_unit: minutes
  result_grand_unit: minutes
  reported_expr: 4 * (20 + 30) = 200","batches_of_cupcakes:
  value: 4
  unit: batches
  location: input
  grand_unit: batches
  expr: null
  formalized_expr: null
baking_time_per_batch:
  value: 20
  unit: minutes
  location: input
  grand_unit: minutes
  expr: null
  formalized_expr: null
icing_time_per_batch:
  value: 30
  unit: minutes
  location: input
  grand_unit: minutes
  expr: null
  formalized_expr: null
total_time:
  value: 200
  unit: minutes
  location: target
  grand_unit: minutes
  expr: batches_of_cupcakes * (baking_time_per_batch + icing_time_per_batch)
  formalized_expr: batches_of_cupcakes * (baking_time_per_batch + icing_time_per_batch)",,,6.435
9,"Kekai's family is having a garage sale. Kekai sells 5 shirts and 5 pairs of pants. Each shirt sells for $1, and each pair of pants sells for $3. If Kekai gives his parents half of the money he earns from selling his clothes, how much money does Kekai have left?",10,total_money_left,10,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"shirts_sold:
  value: 5
  unit: shirts
  location: input
  grand_unit: shirts
pants_sold:
  value: 5
  unit: pairs
  location: input
  grand_unit: pairs
shirt_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
pants_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
fraction_given_to_parents:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
total_money_left:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: shirts_sold * shirt_price + pants_sold * pants_price
  result: total_earnings
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5.0 * 1.0 + 5.0 * 3.0 = 20.0
step2:
  expr: total_earnings * (identity_multiplier - fraction_given_to_parents)
  result: total_money_left
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 20.0 * (1.0 - 0.5) = 10.0","shirts_sold:
  value: 5
  unit: shirts
  location: input
  grand_unit: shirts
  expr: null
  formalized_expr: null
pants_sold:
  value: 5
  unit: pairs
  location: input
  grand_unit: pairs
  expr: null
  formalized_expr: null
shirt_price:
  value: 1.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
pants_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
fraction_given_to_parents:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_money_left:
  value: 10
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_earnings * (identity_multiplier - fraction_given_to_parents)
  formalized_expr: (shirts_sold * shirt_price + pants_sold * pants_price) * (identity_multiplier
    - fraction_given_to_parents)
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_earnings:
  value: 20
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: shirts_sold * shirt_price + pants_sold * pants_price
  formalized_expr: shirts_sold * shirt_price + pants_sold * pants_price",,,8.123
10,Tom uses 10 weight plates each weighing 30 pounds on an exercise machine.  This exercise machine uses special technology to make the weights 20% heavier on the lowering portion.  How heavy did the weights feel when being lowered?,360,total_weight_feel,360,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"weight_plate_count:
  value: 10
  unit: weight plates
  location: input
  grand_unit: weight plates
weight_plate_weight:
  value: 30
  unit: pounds
  location: input
  grand_unit: pounds
heavier_fraction:
  value: 0.2
  unit: null
  location: input
  grand_unit: null
total_weight_feel:
  value: null
  unit: pounds
  location: target
  grand_unit: pounds","step1:
  expr: weight_plate_count * weight_plate_weight
  result: total_weight
  result_unit: pounds
  result_grand_unit: pounds
  reported_expr: 10 * 30 = 300
step2:
  expr: total_weight * heavier_fraction
  result: increase_amount
  result_unit: pounds
  result_grand_unit: pounds
  reported_expr: 300.0 * 0.2 = 60.0
step3:
  expr: total_weight + increase_amount
  result: total_weight_feel
  result_unit: pounds
  result_grand_unit: pounds
  reported_expr: 300 + 60 = 360","weight_plate_count:
  value: 10
  unit: weight plates
  location: input
  grand_unit: weight plates
  expr: null
  formalized_expr: null
weight_plate_weight:
  value: 30
  unit: pounds
  location: input
  grand_unit: pounds
  expr: null
  formalized_expr: null
heavier_fraction:
  value: 0.2
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_weight_feel:
  value: 360
  unit: pounds
  location: target
  grand_unit: pounds
  expr: total_weight + increase_amount
  formalized_expr: weight_plate_count * weight_plate_weight + weight_plate_count *
    weight_plate_weight * heavier_fraction
total_weight:
  value: 300
  unit: pounds
  location: step1
  grand_unit: pounds
  expr: weight_plate_count * weight_plate_weight
  formalized_expr: weight_plate_count * weight_plate_weight
increase_amount:
  value: 60
  unit: pounds
  location: step2
  grand_unit: pounds
  expr: total_weight * heavier_fraction
  formalized_expr: weight_plate_count * weight_plate_weight * heavier_fraction",,,6.327
