index,question,official_answer,target_entity,pipeline_answer,correct,solver_stdout,solver_stderr,problem_entities_yaml,plan_yaml,plan_entities_yaml,error_stage,error,duration_seconds
1,"Nancy buys 2 coffees a day.  She grabs a double espresso for $3.00 every morning.  In the afternoon, she grabs an iced coffee for $2.50.  After 20 days, how much money has she spent on coffee?",110,total_cost,110,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"coffees_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
total_cost:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: morning_coffee_price + afternoon_coffee_price
  result: daily_coffee_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 3.0 + 2.5 = 5.5
step2:
  expr: daily_coffee_cost * days
  result: total_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5.5 * 20.0 = 110.0","coffees_per_day:
  value: 2
  unit: coffees
  location: input
  grand_unit: coffees
  expr: null
  formalized_expr: null
morning_coffee_price:
  value: 3.0
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
afternoon_coffee_price:
  value: 2.5
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
days:
  value: 20
  unit: days
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_cost:
  value: 110
  unit: dollars
  location: target
  grand_unit: dollars
  expr: daily_coffee_cost * days
  formalized_expr: (morning_coffee_price + afternoon_coffee_price) * days
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
daily_coffee_cost:
  value: 5.5
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: morning_coffee_price + afternoon_coffee_price
  formalized_expr: morning_coffee_price + afternoon_coffee_price",,,19.894
2,"Ryan started with 36 tokens at the arcade. Ryan wasted a third of his tokens on Pac-Man, a fourth of his tokens on Candy Crush, and 7 on Ski-ball. Then, his parents bought him seven times as many tokens as he spent on Ski-ball. How many tokens did Ryan end up with?",57,total_tokens,57.00000000000001,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"initial_tokens:
  value: 36
  unit: tokens
  location: input
  grand_unit: tokens
tokens_wasted_pac_man:
  value: 0.3333333333333333
  unit: null
  location: input
  grand_unit: null
tokens_wasted_candy_crush:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
tokens_wasted_ski_ball:
  value: 7
  unit: tokens
  location: input
  grand_unit: tokens
parent_token_multiplier:
  value: 7
  unit: null
  location: input
  grand_unit: null
total_tokens:
  value: null
  unit: tokens
  location: target
  grand_unit: tokens","step1:
  expr: initial_tokens * tokens_wasted_pac_man
  result: tokens_spent_pac_man
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.0000000000000000 * 0.3333333333333333 = 11.9999999999999988
step2:
  expr: initial_tokens * tokens_wasted_candy_crush
  result: tokens_spent_candy_crush
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.00 * 0.25 = 9.00
step3:
  expr: tokens_spent_pac_man + tokens_spent_candy_crush + tokens_wasted_ski_ball
  result: total_tokens_spent
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 11.999999999999998 + 9.000000000000000 + 7.000000000000000 = 27.999999999999998
step4:
  expr: tokens_wasted_ski_ball * parent_token_multiplier
  result: tokens_received_from_parents
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 7 * 7 = 49
step5:
  expr: initial_tokens - total_tokens_spent + tokens_received_from_parents
  result: total_tokens
  result_unit: tokens
  result_grand_unit: tokens
  reported_expr: 36.000000000000000 - 27.999999999999996 + 49.000000000000000 = 57.000000000000004","initial_tokens:
  value: 36
  unit: tokens
  location: input
  grand_unit: tokens
  expr: null
  formalized_expr: null
tokens_wasted_pac_man:
  value: 0.3333333333333333
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
tokens_wasted_candy_crush:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
tokens_wasted_ski_ball:
  value: 7
  unit: tokens
  location: input
  grand_unit: tokens
  expr: null
  formalized_expr: null
parent_token_multiplier:
  value: 7
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_tokens:
  value: 57.00000000000001
  unit: tokens
  location: target
  grand_unit: tokens
  expr: initial_tokens - total_tokens_spent + tokens_received_from_parents
  formalized_expr: initial_tokens - (initial_tokens * tokens_wasted_pac_man + initial_tokens
    * tokens_wasted_candy_crush + tokens_wasted_ski_ball) + tokens_wasted_ski_ball
    * parent_token_multiplier
tokens_spent_pac_man:
  value: 11.999999999999998
  unit: tokens
  location: step1
  grand_unit: tokens
  expr: initial_tokens * tokens_wasted_pac_man
  formalized_expr: initial_tokens * tokens_wasted_pac_man
tokens_spent_candy_crush:
  value: 9
  unit: tokens
  location: step2
  grand_unit: tokens
  expr: initial_tokens * tokens_wasted_candy_crush
  formalized_expr: initial_tokens * tokens_wasted_candy_crush
total_tokens_spent:
  value: 27.999999999999996
  unit: tokens
  location: step3
  grand_unit: tokens
  expr: tokens_spent_pac_man + tokens_spent_candy_crush + tokens_wasted_ski_ball
  formalized_expr: initial_tokens * tokens_wasted_pac_man + initial_tokens * tokens_wasted_candy_crush
    + tokens_wasted_ski_ball
tokens_received_from_parents:
  value: 49
  unit: tokens
  location: step4
  grand_unit: tokens
  expr: tokens_wasted_ski_ball * parent_token_multiplier
  formalized_expr: tokens_wasted_ski_ball * parent_token_multiplier",,,10.837
3,"Jose had 400 tabs opened up in his windows browser. After about one hour of browsing, he closed 1/4 of the tabs to allows easy browsing. He read some news from different pages, then closed 2/5 of the remaining tabs. If he closed half of the remaining tabs after further analyzing some pages, how many windows tabs did he have remaining open?",90,remaining_open_tabs,90,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"opened_tabs:
  value: 400
  unit: tabs
  location: input
  grand_unit: tabs
fraction_closed_first:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
fraction_closed_second:
  value: 0.4
  unit: null
  location: input
  grand_unit: null
fraction_closed_third:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
remaining_open_tabs:
  value: null
  unit: tabs
  location: target
  grand_unit: tabs
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: opened_tabs * fraction_closed_first
  result: first_closed_tabs
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 400.00 * 0.25 = 100.00
step2:
  expr: opened_tabs - first_closed_tabs
  result: remaining_tabs_after_first
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 400 - 100 = 300
step3:
  expr: remaining_tabs_after_first * fraction_closed_second
  result: second_closed_tabs
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 300.0 * 0.4 = 120.0
step4:
  expr: remaining_tabs_after_first - second_closed_tabs
  result: remaining_tabs_after_second
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 300 - 120 = 180
step5:
  expr: remaining_tabs_after_second * fraction_closed_third
  result: third_closed_tabs
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 180.0 * 0.5 = 90.0
step6:
  expr: remaining_tabs_after_second - third_closed_tabs
  result: remaining_open_tabs
  result_unit: tabs
  result_grand_unit: tabs
  reported_expr: 180 - 90 = 90","opened_tabs:
  value: 400
  unit: tabs
  location: input
  grand_unit: tabs
  expr: null
  formalized_expr: null
fraction_closed_first:
  value: 0.25
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
fraction_closed_second:
  value: 0.4
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
fraction_closed_third:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
remaining_open_tabs:
  value: 90
  unit: tabs
  location: target
  grand_unit: tabs
  expr: remaining_tabs_after_second - third_closed_tabs
  formalized_expr: (opened_tabs - opened_tabs * fraction_closed_first) - ((opened_tabs
    - opened_tabs * fraction_closed_first) * fraction_closed_second) - ((opened_tabs
    - opened_tabs * fraction_closed_first) - ((opened_tabs - opened_tabs * fraction_closed_first)
    * fraction_closed_second) * fraction_closed_third)
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
first_closed_tabs:
  value: 100
  unit: tabs
  location: step1
  grand_unit: tabs
  expr: opened_tabs * fraction_closed_first
  formalized_expr: opened_tabs * fraction_closed_first
remaining_tabs_after_first:
  value: 300
  unit: tabs
  location: step2
  grand_unit: tabs
  expr: opened_tabs - first_closed_tabs
  formalized_expr: opened_tabs - opened_tabs * fraction_closed_first
second_closed_tabs:
  value: 120
  unit: tabs
  location: step3
  grand_unit: tabs
  expr: remaining_tabs_after_first * fraction_closed_second
  formalized_expr: (opened_tabs - opened_tabs * fraction_closed_first) * fraction_closed_second
remaining_tabs_after_second:
  value: 180
  unit: tabs
  location: step4
  grand_unit: tabs
  expr: remaining_tabs_after_first - second_closed_tabs
  formalized_expr: (opened_tabs - opened_tabs * fraction_closed_first) - ((opened_tabs
    - opened_tabs * fraction_closed_first) * fraction_closed_second)
third_closed_tabs:
  value: 90
  unit: tabs
  location: step5
  grand_unit: tabs
  expr: remaining_tabs_after_second * fraction_closed_third
  formalized_expr: (opened_tabs - opened_tabs * fraction_closed_first) - ((opened_tabs
    - opened_tabs * fraction_closed_first) * fraction_closed_second) * fraction_closed_third",,,14.221
4,"There are 50 more pens than notebooks on Wesley's school library shelf. If there are 30 notebooks on the shelf, how many notebooks and pens, does he have altogether?",110,total_items,110,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"notebooks:
  value: 30
  unit: notebooks
  location: input
  grand_unit: items
pens_more_than_notebooks:
  value: 50
  unit: pens
  location: input
  grand_unit: items
total_items:
  value: null
  unit: items
  location: target
  grand_unit: items","step1:
  expr: notebooks + pens_more_than_notebooks
  result: pens
  result_unit: pens
  result_grand_unit: items
  reported_expr: 30 + 50 = 80
step2:
  expr: notebooks + pens
  result: total_items
  result_unit: items
  result_grand_unit: items
  reported_expr: 30 + 80 = 110","notebooks:
  value: 30
  unit: notebooks
  location: input
  grand_unit: items
  expr: null
  formalized_expr: null
pens_more_than_notebooks:
  value: 50
  unit: pens
  location: input
  grand_unit: items
  expr: null
  formalized_expr: null
total_items:
  value: 110
  unit: items
  location: target
  grand_unit: items
  expr: notebooks + pens
  formalized_expr: notebooks + (notebooks + pens_more_than_notebooks)
pens:
  value: 80
  unit: pens
  location: step1
  grand_unit: items
  expr: notebooks + pens_more_than_notebooks
  formalized_expr: notebooks + pens_more_than_notebooks",,,7.476
5,"Sara builds a birdhouse that is 1 foot wide, 2 feet tall and 2 feet deep. Jake builds a birdhouse that is 16 inches wide, 20 inches tall and 18 inches deep. What is the difference in volume between the two birdhouses in inches?",1152,volume_difference,1152,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"width_sara:
  value: 1
  unit: feet
  location: input
  grand_unit: feet
height_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: feet
depth_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: feet
width_jake:
  value: 16
  unit: inches
  location: input
  grand_unit: inches
height_jake:
  value: 20
  unit: inches
  location: input
  grand_unit: inches
depth_jake:
  value: 18
  unit: inches
  location: input
  grand_unit: inches
volume_difference:
  value: null
  unit: inches
  location: target
  grand_unit: inches
unit_conversion_inches_per_foot:
  value: 12
  unit: null
  location: input
  grand_unit: null","step1:
  expr: width_sara * height_sara * depth_sara * unit_conversion_inches_per_foot *
    unit_conversion_inches_per_foot * unit_conversion_inches_per_foot
  result: volume_sara
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 1 * 2 * 2 * 12 * 12 * 12 = 6912
step2:
  expr: width_jake * height_jake * depth_jake
  result: volume_jake
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 16 * 20 * 18 = 5760
step3:
  expr: volume_sara - volume_jake
  result: volume_difference
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 6912 - 5760 = 1152","width_sara:
  value: 1
  unit: feet
  location: input
  grand_unit: feet
  expr: null
  formalized_expr: null
height_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: feet
  expr: null
  formalized_expr: null
depth_sara:
  value: 2
  unit: feet
  location: input
  grand_unit: feet
  expr: null
  formalized_expr: null
width_jake:
  value: 16
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
height_jake:
  value: 20
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
depth_jake:
  value: 18
  unit: inches
  location: input
  grand_unit: inches
  expr: null
  formalized_expr: null
volume_difference:
  value: 1152
  unit: inches
  location: target
  grand_unit: inches
  expr: volume_sara - volume_jake
  formalized_expr: width_sara * height_sara * depth_sara * unit_conversion_inches_per_foot
    * unit_conversion_inches_per_foot * unit_conversion_inches_per_foot - width_jake
    * height_jake * depth_jake
unit_conversion_inches_per_foot:
  value: 12
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
volume_sara:
  value: 6912
  unit: inches
  location: step1
  grand_unit: inches
  expr: width_sara * height_sara * depth_sara * unit_conversion_inches_per_foot *
    unit_conversion_inches_per_foot * unit_conversion_inches_per_foot
  formalized_expr: width_sara * height_sara * depth_sara * unit_conversion_inches_per_foot
    * unit_conversion_inches_per_foot * unit_conversion_inches_per_foot
volume_jake:
  value: 5760
  unit: inches
  location: step2
  grand_unit: inches
  expr: width_jake * height_jake * depth_jake
  formalized_expr: width_jake * height_jake * depth_jake",,,27.553
6,Tom reads 10 hours over 5 days.  He can read 50 pages per hour.  Assuming he reads the same amount every day how many pages does he read in 7 days?,700,total_pages,700,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"hours:
  value: 10
  unit: hours
  location: input
  grand_unit: null
days:
  value: 5
  unit: days
  location: input
  grand_unit: null
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: null
total_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
total_pages:
  value: null
  unit: pages
  location: target
  grand_unit: pages
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: hours / days
  result: hours_per_day
  result_unit: hours
  result_grand_unit: null
  reported_expr: 10 / 5 = 2
step2:
  expr: hours_per_day * pages_per_hour
  result: pages_per_day
  result_unit: pages
  result_grand_unit: null
  reported_expr: 2 * 50 = 100
step3:
  expr: pages_per_day * total_days
  result: total_pages
  result_unit: pages
  result_grand_unit: pages
  reported_expr: 100 * 7 = 700","hours:
  value: 10
  unit: hours
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
days:
  value: 5
  unit: days
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_pages:
  value: 700
  unit: pages
  location: target
  grand_unit: pages
  expr: pages_per_day * total_days
  formalized_expr: hours / days * pages_per_hour * total_days
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
hours_per_day:
  value: 2
  unit: hours
  location: step1
  grand_unit: null
  expr: hours / days
  formalized_expr: hours / days
pages_per_day:
  value: 100
  unit: pages
  location: step2
  grand_unit: null
  expr: hours_per_day * pages_per_hour
  formalized_expr: hours / days * pages_per_hour",,,13.058
7,"Danny has a huge fish tank that contains 94 guppies, 76 angelfish, 89 tiger sharks, and 58 Oscar fish. If he sells 30 guppies, 48 angelfish, 17 tiger sharks, and 24 Oscar fish. How many fish will remain?",198,total_fish_remaining,198,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"guppies:
  value: 94
  unit: fish
  location: input
  grand_unit: fish
angelfish:
  value: 76
  unit: fish
  location: input
  grand_unit: fish
tiger_sharks:
  value: 89
  unit: fish
  location: input
  grand_unit: fish
oscar_fish:
  value: 58
  unit: fish
  location: input
  grand_unit: fish
guppies_sold:
  value: 30
  unit: fish
  location: input
  grand_unit: fish
angelfish_sold:
  value: 48
  unit: fish
  location: input
  grand_unit: fish
tiger_sharks_sold:
  value: 17
  unit: fish
  location: input
  grand_unit: fish
oscar_fish_sold:
  value: 24
  unit: fish
  location: input
  grand_unit: fish
total_fish_remaining:
  value: null
  unit: fish
  location: target
  grand_unit: fish","step1:
  expr: guppies - guppies_sold
  result: remaining_guppies
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 94 - 30 = 64
step2:
  expr: angelfish - angelfish_sold
  result: remaining_angelfish
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 76 - 48 = 28
step3:
  expr: tiger_sharks - tiger_sharks_sold
  result: remaining_tiger_sharks
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 89 - 17 = 72
step4:
  expr: oscar_fish - oscar_fish_sold
  result: remaining_oscar_fish
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 58 - 24 = 34
step5:
  expr: remaining_guppies + remaining_angelfish + remaining_tiger_sharks + remaining_oscar_fish
  result: total_fish_remaining
  result_unit: fish
  result_grand_unit: fish
  reported_expr: 64 + 28 + 72 + 34 = 198","guppies:
  value: 94
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
angelfish:
  value: 76
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
tiger_sharks:
  value: 89
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
oscar_fish:
  value: 58
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
guppies_sold:
  value: 30
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
angelfish_sold:
  value: 48
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
tiger_sharks_sold:
  value: 17
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
oscar_fish_sold:
  value: 24
  unit: fish
  location: input
  grand_unit: fish
  expr: null
  formalized_expr: null
total_fish_remaining:
  value: 198
  unit: fish
  location: target
  grand_unit: fish
  expr: remaining_guppies + remaining_angelfish + remaining_tiger_sharks + remaining_oscar_fish
  formalized_expr: (guppies - guppies_sold) + (angelfish - angelfish_sold) + (tiger_sharks
    - tiger_sharks_sold) + (oscar_fish - oscar_fish_sold)
remaining_guppies:
  value: 64
  unit: fish
  location: step1
  grand_unit: fish
  expr: guppies - guppies_sold
  formalized_expr: guppies - guppies_sold
remaining_angelfish:
  value: 28
  unit: fish
  location: step2
  grand_unit: fish
  expr: angelfish - angelfish_sold
  formalized_expr: angelfish - angelfish_sold
remaining_tiger_sharks:
  value: 72
  unit: fish
  location: step3
  grand_unit: fish
  expr: tiger_sharks - tiger_sharks_sold
  formalized_expr: tiger_sharks - tiger_sharks_sold
remaining_oscar_fish:
  value: 34
  unit: fish
  location: step4
  grand_unit: fish
  expr: oscar_fish - oscar_fish_sold
  formalized_expr: oscar_fish - oscar_fish_sold",,,19.766
8,Chelsea made 4 batches of cupcakes for the bake sale. The cupcakes took 20 minutes to bake and 30 minutes to ice per batch. How long did it take Chelsea to make the cupcakes?,200,total_time,200,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"batches_of_cupcakes:
  value: 4
  unit: batches
  location: input
  grand_unit: null
baking_time_per_batch:
  value: 20
  unit: minutes
  location: input
  grand_unit: minutes
icing_time_per_batch:
  value: 30
  unit: minutes
  location: input
  grand_unit: minutes
total_time:
  value: null
  unit: minutes
  location: target
  grand_unit: minutes","step1:
  expr: baking_time_per_batch * batches_of_cupcakes
  result: total_baking_time
  result_unit: minutes
  result_grand_unit: minutes
  reported_expr: 20 * 4 = 80
step2:
  expr: icing_time_per_batch * batches_of_cupcakes
  result: total_icing_time
  result_unit: minutes
  result_grand_unit: minutes
  reported_expr: 30 * 4 = 120
step3:
  expr: total_baking_time + total_icing_time
  result: total_time
  result_unit: minutes
  result_grand_unit: minutes
  reported_expr: 80 + 120 = 200","batches_of_cupcakes:
  value: 4
  unit: batches
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
baking_time_per_batch:
  value: 20
  unit: minutes
  location: input
  grand_unit: minutes
  expr: null
  formalized_expr: null
icing_time_per_batch:
  value: 30
  unit: minutes
  location: input
  grand_unit: minutes
  expr: null
  formalized_expr: null
total_time:
  value: 200
  unit: minutes
  location: target
  grand_unit: minutes
  expr: total_baking_time + total_icing_time
  formalized_expr: baking_time_per_batch * batches_of_cupcakes + icing_time_per_batch
    * batches_of_cupcakes
total_baking_time:
  value: 80
  unit: minutes
  location: step1
  grand_unit: minutes
  expr: baking_time_per_batch * batches_of_cupcakes
  formalized_expr: baking_time_per_batch * batches_of_cupcakes
total_icing_time:
  value: 120
  unit: minutes
  location: step2
  grand_unit: minutes
  expr: icing_time_per_batch * batches_of_cupcakes
  formalized_expr: icing_time_per_batch * batches_of_cupcakes",,,10.209
9,"Kekai's family is having a garage sale. Kekai sells 5 shirts and 5 pairs of pants. Each shirt sells for $1, and each pair of pants sells for $3. If Kekai gives his parents half of the money he earns from selling his clothes, how much money does Kekai have left?",10,total_money_left,10,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"shirts_sold:
  value: 5
  unit: shirts
  location: input
  grand_unit: shirts
pants_sold:
  value: 5
  unit: pairs
  location: input
  grand_unit: pairs
shirt_price:
  value: 1
  unit: dollars
  location: input
  grand_unit: dollars
pants_price:
  value: 3
  unit: dollars
  location: input
  grand_unit: dollars
fraction_given_to_parents:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
total_money_left:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars
unit_conversion_items_per_pair:
  value: 2
  unit: null
  location: input
  grand_unit: null
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: shirts_sold * shirt_price
  result: total_shirt_income
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 * 1 = 5
step2:
  expr: pants_sold * pants_price
  result: total_pants_income
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 * 3 = 15
step3:
  expr: total_shirt_income + total_pants_income
  result: total_income
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 + 15 = 20
step4:
  expr: total_income * (identity_multiplier - fraction_given_to_parents)
  result: total_money_left
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 20.0 * (1.0 - 0.5) = 10.0","shirts_sold:
  value: 5
  unit: shirts
  location: input
  grand_unit: shirts
  expr: null
  formalized_expr: null
pants_sold:
  value: 5
  unit: pairs
  location: input
  grand_unit: pairs
  expr: null
  formalized_expr: null
shirt_price:
  value: 1
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
pants_price:
  value: 3
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
fraction_given_to_parents:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_money_left:
  value: 10
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_income * (identity_multiplier - fraction_given_to_parents)
  formalized_expr: (shirts_sold * shirt_price + pants_sold * pants_price) * (identity_multiplier
    - fraction_given_to_parents)
unit_conversion_items_per_pair:
  value: 2
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_shirt_income:
  value: 5
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: shirts_sold * shirt_price
  formalized_expr: shirts_sold * shirt_price
total_pants_income:
  value: 15
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: pants_sold * pants_price
  formalized_expr: pants_sold * pants_price
total_income:
  value: 20
  unit: dollars
  location: step3
  grand_unit: dollars
  expr: total_shirt_income + total_pants_income
  formalized_expr: shirts_sold * shirt_price + pants_sold * pants_price",,,18.747
10,Tom uses 10 weight plates each weighing 30 pounds on an exercise machine.  This exercise machine uses special technology to make the weights 20% heavier on the lowering portion.  How heavy did the weights feel when being lowered?,360,total_weight_feel,360,yes,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"weight_plates:
  value: 10
  unit: weight plates
  location: input
  grand_unit: null
weight_per_plate:
  value: 30
  unit: pounds
  location: input
  grand_unit: pounds
heavier_fraction:
  value: 0.2
  unit: null
  location: input
  grand_unit: null
total_weight_feel:
  value: null
  unit: pounds
  location: target
  grand_unit: pounds","step1:
  expr: weight_plates * weight_per_plate
  result: total_weight
  result_unit: pounds
  result_grand_unit: pounds
  reported_expr: 10 * 30 = 300
step2:
  expr: total_weight * (1 + heavier_fraction)
  result: total_weight_feel
  result_unit: pounds
  result_grand_unit: pounds
  reported_expr: 300.0 * (1 + 0.2) = 360.0","weight_plates:
  value: 10
  unit: weight plates
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
weight_per_plate:
  value: 30
  unit: pounds
  location: input
  grand_unit: pounds
  expr: null
  formalized_expr: null
heavier_fraction:
  value: 0.2
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_weight_feel:
  value: 360
  unit: pounds
  location: target
  grand_unit: pounds
  expr: total_weight * (1 + heavier_fraction)
  formalized_expr: weight_plates * weight_per_plate * (1 + heavier_fraction)
total_weight:
  value: 300
  unit: pounds
  location: step1
  grand_unit: pounds
  expr: weight_plates * weight_per_plate
  formalized_expr: weight_plates * weight_per_plate",,,41.625
