index,question,official_answer,target_entity,pipeline_answer,correct,solver_stdout,solver_stderr,problem_entities_yaml,plan_yaml,plan_entities_yaml,error_stage,error,duration_seconds
6,Tom reads 10 hours over 5 days.  He can read 50 pages per hour.  Assuming he reads the same amount every day how many pages does he read in 7 days?,700,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: step3.expr dùng 'additional_days' như một số lượng thật. 'additional_days' là độ chênh lệch, nên phải tạo entity 'days' trước: days = base_quantity + additional_days. Sau đó mới dùng 'days' để tính 'total_pages'.","hours:
  value: 10
  unit: hours
  location: input
  grand_unit: hours
days:
  value: 5
  unit: days
  location: input
  grand_unit: days
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: pages
additional_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
total_pages:
  value: null
  unit: pages
  location: target
  grand_unit: pages
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null","step1:
  expr: width_sara * unit_conversion_inches_per_foot * height_sara * unit_conversion_inches_per_foot
    * depth_sara * unit_conversion_inches_per_foot
  result: volume_sara
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 1 * 12 * 2 * 12 * 2 * 12 = 6912
step2:
  expr: width_jake * height_jake * depth_jake
  result: volume_jake
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 16 * 20 * 18 = 5760
step3:
  expr: volume_sara - volume_jake
  result: volume_difference
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 6912 - 5760 = 1152","hours:
  value: 10
  unit: hours
  location: input
  grand_unit: hours
days:
  value: 5
  unit: days
  location: input
  grand_unit: days
pages_per_hour:
  value: 50
  unit: pages
  location: input
  grand_unit: pages
additional_days:
  value: 7
  unit: days
  location: input
  grand_unit: null
total_pages:
  value: null
  unit: pages
  location: target
  grand_unit: pages
unit_conversion_hours_per_day:
  value: 24
  unit: null
  location: input
  grand_unit: null",Planner,RuntimeError: Solver failed with exit code 1,28.198
12,Joseph gave 23 cards to each of his 15 students and had 12 cards left. How many cards did Joseph have at first?,357,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: Plan chưa dùng các scalar input quan trọng: ['identity_multiplier']. Nếu entity này biểu diễn fraction/ratio/multiplier/rate từ đề, expr phải tham chiếu trực tiếp entity đó.","joseph_cards_given_per_student:
  value: 23
  unit: cards
  location: input
  grand_unit: cards
number_of_students:
  value: 15
  unit: students
  location: input
  grand_unit: null
joseph_cards_left:
  value: 12
  unit: cards
  location: input
  grand_unit: cards
total_cards:
  value: null
  unit: cards
  location: target
  grand_unit: cards
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: first_child_height * unit_conversion_inches_per_foot
  result: first_child_height_inches
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 6 * 12 = 72
step2:
  expr: first_child_height_inches + second_child_taller_than_first
  result: second_child_height_inches
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 72 + 2 = 74
step3:
  expr: second_child_height_inches - third_child_shorter_than_second
  result: third_child_height_inches
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 74 - 5 = 69
step4:
  expr: third_child_height_inches + fourth_child_taller_than_third
  result: fourth_child_height
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 69 + 3 = 72","joseph_cards_given_per_student:
  value: 23
  unit: cards
  location: input
  grand_unit: cards
number_of_students:
  value: 15
  unit: students
  location: input
  grand_unit: null
joseph_cards_left:
  value: 12
  unit: cards
  location: input
  grand_unit: cards
total_cards:
  value: null
  unit: cards
  location: target
  grand_unit: cards
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null",Planner,RuntimeError: Solver failed with exit code 1,18.201
14,Jame has 60 bars of gold.  He uses 10% of them to pay for tax and then loses half of what is left in divorce.  How many gold bars does he have left?,27,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: Plan chưa dùng các scalar input quan trọng: ['identity_multiplier']. Nếu entity này biểu diễn fraction/ratio/multiplier/rate từ đề, expr phải tham chiếu trực tiếp entity đó.","gold_bars_initial:
  value: 60
  unit: bars
  location: input
  grand_unit: bars
gold_bars_used_for_tax:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
gold_bars_lost_in_divorce:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
gold_bars_left:
  value: null
  unit: bars
  location: target
  grand_unit: bars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: mini_golf_price + arcade_tokens + (go_kart_price * go_kart_rides)
  result: full_cost_per_person
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 + 5 + (10 * 2) = 30
step2:
  expr: budget / full_cost_per_person
  result: total_people
  result_unit: people
  result_grand_unit: people
  reported_expr: 90 / 30 = 3
step3:
  expr: total_people - host_count
  result: total_friends
  result_unit: friends
  result_grand_unit: friends
  reported_expr: 3 - 1 = 2","gold_bars_initial:
  value: 60
  unit: bars
  location: input
  grand_unit: bars
gold_bars_used_for_tax:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
gold_bars_lost_in_divorce:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
gold_bars_left:
  value: null
  unit: bars
  location: target
  grand_unit: bars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null",Planner,RuntimeError: Solver failed with exit code 1,27.845
17,"A smartphone seller is offering a discount of 5% off for customers who buy at least 2 smartphones at once. Melinda, Zoe and Joel want to buy an iPhone X each. If an iPhone X costs $600, how much can they save by pooling their money together and buying three iPhones at once from this seller rather than buying individually?",90,total_savings,60,no,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"smartphone_price:
  value: 600
  unit: dollars
  location: input
  grand_unit: dollars
minimum_smartphones_for_discount:
  value: 2
  unit: smartphones
  location: input
  grand_unit: smartphones
discount_percentage:
  value: 0.05
  unit: null
  location: input
  grand_unit: null
total_savings:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: smartphone_price * minimum_smartphones_for_discount
  result: total_price_without_discount
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 600 * 2 = 1200
step2:
  expr: smartphone_price * identity_multiplier
  result: price_per_smartphone
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 600 * 1 = 600
step3:
  expr: total_price_without_discount - (total_price_without_discount * discount_percentage)
  result: total_price_with_discount
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 1200.00 - (1200.00 * 0.05) = 1140.00
step4:
  expr: price_per_smartphone * minimum_smartphones_for_discount
  result: total_price_individual
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 600 * 2 = 1200
step5:
  expr: total_price_individual - total_price_with_discount
  result: total_savings
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 1200 - 1140 = 60","smartphone_price:
  value: 600
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
minimum_smartphones_for_discount:
  value: 2
  unit: smartphones
  location: input
  grand_unit: smartphones
  expr: null
  formalized_expr: null
discount_percentage:
  value: 0.05
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_savings:
  value: 60
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_price_individual - total_price_with_discount
  formalized_expr: smartphone_price * identity_multiplier * minimum_smartphones_for_discount
    - (smartphone_price * minimum_smartphones_for_discount - (smartphone_price * minimum_smartphones_for_discount
    * discount_percentage))
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_price_without_discount:
  value: 1200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: smartphone_price * minimum_smartphones_for_discount
  formalized_expr: smartphone_price * minimum_smartphones_for_discount
price_per_smartphone:
  value: 600
  unit: dollars
  location: step2
  grand_unit: dollars
  expr: smartphone_price * identity_multiplier
  formalized_expr: smartphone_price * identity_multiplier
total_price_with_discount:
  value: 1140
  unit: dollars
  location: step3
  grand_unit: dollars
  expr: total_price_without_discount - (total_price_without_discount * discount_percentage)
  formalized_expr: smartphone_price * minimum_smartphones_for_discount - (smartphone_price
    * minimum_smartphones_for_discount * discount_percentage)
total_price_individual:
  value: 1200
  unit: dollars
  location: step4
  grand_unit: dollars
  expr: price_per_smartphone * minimum_smartphones_for_discount
  formalized_expr: smartphone_price * identity_multiplier * minimum_smartphones_for_discount",,,18.122
23,"A group of nine turtles sat on a log.  Two less than three times the original number of turtles climbed onto the log with the original group, creating an even larger group on the log.  Suddenly, half of the large group of turtles were frightened by a sound and jumped off of the log and ran away.  How many turtles remained on the log?",17,,,no,"Pass ProblemFormalizer
Pass Planner
Fail Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...",Reason: InsideChecker vẫn còn lỗi sau 5 lần repair. Checker output: Pass InsideChecker,"original_turtles:
  value: 9
  unit: turtles
  location: input
  grand_unit: turtles
additional_turtles:
  value: 2
  unit: turtles
  location: input
  grand_unit: turtles
multiplier_for_additional_turtles:
  value: 3
  unit: null
  location: input
  grand_unit: null
fraction_frightened_turtles:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
remaining_turtles:
  value: null
  unit: turtles
  location: target
  grand_unit: turtles","step1:
  expr: original_turtles + (multiplier_for_additional_turtles * original_turtles)
  result: large_group_turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 9 + (3 * 9) = 36
step2:
  expr: large_group_turtles
  result: large_group_turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 36 = 36
step3:
  expr: large_group_turtles * fraction_frightened_turtles
  result: frightened_turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 36.0 * 0.5 = 18.0
step4:
  expr: large_group_turtles - frightened_turtles
  result: remaining_turtles
  result_unit: turtles
  result_grand_unit: turtles
  reported_expr: 36 - 18 = 18","original_turtles:
  value: 9
  unit: turtles
  location: input
  grand_unit: turtles
  expr: null
  formalized_expr: null
additional_turtles:
  value: 2
  unit: turtles
  location: input
  grand_unit: turtles
  expr: null
  formalized_expr: null
multiplier_for_additional_turtles:
  value: 3
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
fraction_frightened_turtles:
  value: 0.5
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
remaining_turtles:
  value: 18
  unit: turtles
  location: target
  grand_unit: turtles
  expr: large_group_turtles - frightened_turtles
  formalized_expr: (original_turtles + (multiplier_for_additional_turtles * original_turtles))
    - ((original_turtles + (multiplier_for_additional_turtles * original_turtles))
    * fraction_frightened_turtles)
large_group_turtles:
  value: 36
  unit: turtles
  location: step2
  grand_unit: turtles
  expr: large_group_turtles
  formalized_expr: (original_turtles + (multiplier_for_additional_turtles * original_turtles))
frightened_turtles:
  value: 18
  unit: turtles
  location: step3
  grand_unit: turtles
  expr: large_group_turtles * fraction_frightened_turtles
  formalized_expr: (original_turtles + (multiplier_for_additional_turtles * original_turtles))
    * fraction_frightened_turtles",Executor,RuntimeError: Solver failed with exit code 1,82.397
25,Telegraph Road goes through multiple states and is 162 kilometers long. Pardee Road is 12000 meters long. How many kilometers longer is Telegraph Road than Pardee Road?,150,,,no,"Fail ProblemFormalizer
Running ProblemFormalizer...",Reason: pardee_road_length.value=12 không phải số được nêu trực tiếp trong đề.,"miles_per_gallon:
  value: 19
  unit: miles
  location: input
  grand_unit: miles
miles_to_school:
  value: 15
  unit: miles
  location: input
  grand_unit: miles
miles_to_softball_park:
  value: 6
  unit: miles
  location: input
  grand_unit: miles
miles_to_burger_restaurant:
  value: 2
  unit: miles
  location: input
  grand_unit: miles
miles_to_friends_house:
  value: 4
  unit: miles
  location: input
  grand_unit: miles
miles_to_home:
  value: 11
  unit: miles
  location: input
  grand_unit: miles
total_gallons_of_gas:
  value: null
  unit: gallons
  location: target
  grand_unit: gallons","step1:
  expr: miles_to_school + miles_to_softball_park + miles_to_burger_restaurant + miles_to_friends_house
    + miles_to_home
  result: total_miles_driven
  result_unit: miles
  result_grand_unit: miles
  reported_expr: 15 + 6 + 2 + 4 + 11 = 38
step2:
  expr: total_miles_driven / miles_per_gallon
  result: total_gallons_of_gas
  result_unit: gallons
  result_grand_unit: gallons
  reported_expr: 38 / 19 = 2","miles_per_gallon:
  value: 19
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
miles_to_school:
  value: 15
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
miles_to_softball_park:
  value: 6
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
miles_to_burger_restaurant:
  value: 2
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
miles_to_friends_house:
  value: 4
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
miles_to_home:
  value: 11
  unit: miles
  location: input
  grand_unit: miles
  expr: null
  formalized_expr: null
total_gallons_of_gas:
  value: 2
  unit: gallons
  location: target
  grand_unit: gallons
  expr: total_miles_driven / miles_per_gallon
  formalized_expr: (miles_to_school + miles_to_softball_park + miles_to_burger_restaurant
    + miles_to_friends_house + miles_to_home) / miles_per_gallon
total_miles_driven:
  value: 38
  unit: miles
  location: step1
  grand_unit: miles
  expr: miles_to_school + miles_to_softball_park + miles_to_burger_restaurant + miles_to_friends_house
    + miles_to_home
  formalized_expr: miles_to_school + miles_to_softball_park + miles_to_burger_restaurant
    + miles_to_friends_house + miles_to_home",ProblemFormalizer,RuntimeError: Solver failed with exit code 1,21.709
26,"A school is adding 5 rows of seats to the auditorium. Each row has 8 seats and each seat costs $30. A parent, being a seat manufacturer, offered a 10% discount on each group of 10 seats purchased. How much will the school pay for the new seats?",1080,total_cost,-13200,no,"Pass ProblemFormalizer
Pass Planner
Pass Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...
Pass Solver",,"rows_of_seats:
  value: 5
  unit: rows
  location: input
  grand_unit: null
seats_per_row:
  value: 8
  unit: seats
  location: input
  grand_unit: null
seat_cost:
  value: 30
  unit: dollars
  location: input
  grand_unit: dollars
discount_percentage:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
group_size:
  value: 10
  unit: seats
  location: input
  grand_unit: null
total_cost:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: rows_of_seats * seats_per_row * seat_cost
  result: total_cost_before_discount
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 * 8 * 30 = 1200
step2:
  expr: total_cost_before_discount * (identity_multiplier - discount_percentage *
    (total_cost_before_discount / group_size))
  result: total_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 1200.0 * (1.0 - 0.1 * (1200.0 / 10.0)) = -13200.0","rows_of_seats:
  value: 5
  unit: rows
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
seats_per_row:
  value: 8
  unit: seats
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
seat_cost:
  value: 30
  unit: dollars
  location: input
  grand_unit: dollars
  expr: null
  formalized_expr: null
discount_percentage:
  value: 0.1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
group_size:
  value: 10
  unit: seats
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_cost:
  value: -13200
  unit: dollars
  location: target
  grand_unit: dollars
  expr: total_cost_before_discount * (identity_multiplier - discount_percentage *
    (total_cost_before_discount / group_size))
  formalized_expr: rows_of_seats * seats_per_row * seat_cost * (identity_multiplier
    - discount_percentage * (rows_of_seats * seats_per_row * seat_cost / group_size))
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_cost_before_discount:
  value: 1200
  unit: dollars
  location: step1
  grand_unit: dollars
  expr: rows_of_seats * seats_per_row * seat_cost
  formalized_expr: rows_of_seats * seats_per_row * seat_cost",,,17.299
27,Carmela has $7 and each of her four cousins has $2. How much will Carmela have to give to each of her cousins so that she and her cousins will have the same amount of money?,1,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...",Reason: step1.expr dùng entity chưa tồn tại hoặc chưa được tạo: ['amount_each'],"carmela_money:
  value: 7
  unit: dollars
  location: input
  grand_unit: dollars
cousin_money:
  value: 2
  unit: dollars
  location: input
  grand_unit: dollars
number_of_cousins:
  value: 4
  unit: cousins
  location: input
  grand_unit: null
amount_each:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars","step1:
  expr: rows_of_seats * seats_per_row * seat_cost
  result: total_cost_before_discount
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 5 * 8 * 30 = 1200
step2:
  expr: total_cost_before_discount * (identity_multiplier - discount_percentage *
    (total_cost_before_discount / group_size))
  result: total_cost
  result_unit: dollars
  result_grand_unit: dollars
  reported_expr: 1200.0 * (1.0 - 0.1 * (1200.0 / 10.0)) = -13200.0","carmela_money:
  value: 7
  unit: dollars
  location: input
  grand_unit: dollars
cousin_money:
  value: 2
  unit: dollars
  location: input
  grand_unit: dollars
number_of_cousins:
  value: 4
  unit: cousins
  location: input
  grand_unit: null
amount_each:
  value: null
  unit: dollars
  location: target
  grand_unit: dollars",Planner,RuntimeError: Solver failed with exit code 1,26.098
28,"We the People has 17 cows. Happy Good Healthy Family has two more than three times the number of cows We the People has. If their cows are taken to a ranch to graze together, how many cows will be in the ranch altogether?",70,,,no,"Pass ProblemFormalizer
Pass Planner
Fail Executor
Running ProblemFormalizer...
Running Planner...
Running Executor...",Reason: InsideChecker vẫn còn lỗi sau 5 lần repair. Checker output: Pass InsideChecker,"we_the_people_cows:
  value: 17
  unit: cows
  location: input
  grand_unit: cows
happy_good_healthy_family_cows_more_than_three_times:
  value: 2
  unit: null
  location: input
  grand_unit: null
happy_good_healthy_family_cows_multiplier:
  value: 3
  unit: null
  location: input
  grand_unit: null
total_cows_in_ranch:
  value: null
  unit: cows
  location: target
  grand_unit: cows","step1:
  expr: we_the_people_cows * happy_good_healthy_family_cows_multiplier + happy_good_healthy_family_cows_more_than_three_times
  result: happy_good_healthy_family_cows
  result_unit: cows
  result_grand_unit: cows
  reported_expr: 17 * 3 + 2 = 53
step2:
  expr: we_the_people_cows + (we_the_people_cows * happy_good_healthy_family_cows_multiplier
    + happy_good_healthy_family_cows_more_than_three_times)
  result: total_cows_in_ranch
  result_unit: cows
  result_grand_unit: cows
  reported_expr: 17 + (17 * 3 + 2) = 70","we_the_people_cows:
  value: 17
  unit: cows
  location: input
  grand_unit: cows
  expr: null
  formalized_expr: null
happy_good_healthy_family_cows_more_than_three_times:
  value: 2
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
happy_good_healthy_family_cows_multiplier:
  value: 3
  unit: null
  location: input
  grand_unit: null
  expr: null
  formalized_expr: null
total_cows_in_ranch:
  value: 70
  unit: cows
  location: target
  grand_unit: cows
  expr: we_the_people_cows + (we_the_people_cows * happy_good_healthy_family_cows_multiplier
    + happy_good_healthy_family_cows_more_than_three_times)
  formalized_expr: we_the_people_cows + (we_the_people_cows * happy_good_healthy_family_cows_multiplier
    + happy_good_healthy_family_cows_more_than_three_times)
happy_good_healthy_family_cows:
  value: 53
  unit: cows
  location: target
  grand_unit: cows
  expr: we_the_people_cows * happy_good_healthy_family_cows_multiplier + happy_good_healthy_family_cows_more_than_three_times
  formalized_expr: we_the_people_cows * happy_good_healthy_family_cows_multiplier
    + happy_good_healthy_family_cows_more_than_three_times",Executor,RuntimeError: Solver failed with exit code 1,56.789
30,7 out of 40 people in a cafeteria are wearing checkered shirts. The rest of the people are wearing vertical stripes and horizontal stripes. The number of people wearing horizontal stripes is 4 times as many as the people wearing checkered shirts. How many people are wearing vertical stripes?,5,,,no,"Pass ProblemFormalizer
Fail Planner
Running ProblemFormalizer...
Running Planner...","Reason: Plan chưa dùng các scalar input quan trọng: ['identity_multiplier']. Nếu entity này biểu diễn fraction/ratio/multiplier/rate từ đề, expr phải tham chiếu trực tiếp entity đó.","checkered_shirts:
  value: 7
  unit: people
  location: input
  grand_unit: people
total_people:
  value: 40
  unit: people
  location: input
  grand_unit: people
horizontal_stripes_multiplier:
  value: 4
  unit: null
  location: input
  grand_unit: null
vertical_stripes:
  value: null
  unit: people
  location: target
  grand_unit: people
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null","step1:
  expr: mattison_height * house_height_multiplier
  result: house_height
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 60 * 7 = 420
step2:
  expr: mattison_height * first_floor_ceiling_height_multiplier
  result: first_floor_ceiling_height
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 60 * 3 = 180
step3:
  expr: house_height - first_floor_ceiling_height
  result: roof_height_from_second_floor
  result_unit: inches
  result_grand_unit: inches
  reported_expr: 420 - 180 = 240","checkered_shirts:
  value: 7
  unit: people
  location: input
  grand_unit: people
total_people:
  value: 40
  unit: people
  location: input
  grand_unit: people
horizontal_stripes_multiplier:
  value: 4
  unit: null
  location: input
  grand_unit: null
vertical_stripes:
  value: null
  unit: people
  location: target
  grand_unit: people
identity_multiplier:
  value: 1
  unit: null
  location: input
  grand_unit: null",Planner,RuntimeError: Solver failed with exit code 1,17.547
